stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
SB510,6729,"MEADOWLANDS / NESS",,  45.361521, -75.714200,,,0
SB520,4502,"MEADOWLANDS / NESS",,  45.361811, -75.713175,,,0
SB530,4504,"MEADOWLANDS / FISHER",,  45.362247, -75.712505,,,0
SB540,4503,"MEADOWLANDS / FISHER",,  45.362280, -75.712109,,,0
SC200,1716,"COLONNADE / MERIVALE",,  45.340332, -75.726500,,,0
SC205,7958,"COLONNADE / AD. 8",,  45.341346, -75.723360,,,0
SC208,3999,"COLONNADE / COLONNADE",,  45.342383, -75.721493,,,0
SC210,0983,"COLONNADE / COLONNADE",,  45.342675, -75.720343,,,0
SC214,9045,"COLONNADE / 40 COLONNADE",,  45.344032, -75.717517,,,0
SC215,1599,"COLONNADE / AD. 40",,  45.343915, -75.717506,,,0
SC220,6047,"COLONNADE / AD. 60",,  45.345395, -75.714117,,,0
SC221,9044,"COLONNADE / 60 COLONNADE",,  45.345521, -75.714166,,,0
SC225,2622,"COLONNADE / AD. 80",,  45.346528, -75.711434,,,0
SC226,9043,"COLONNADE / 80 COLONNADE",,  45.346549, -75.711791,,,0
SC227,0348,"COLONNADE / AD. 82",,  45.347361, -75.709521,,,0
SC228,9042,"COLONNADE / 82 COLONNADE",,  45.347408, -75.709839,,,0
SC230,6048,"COLONNADE / AD. 100",,  45.346667, -75.705523,,,0
SC231,9041,"COLONNADE / 106 COLONNADE",,  45.346773, -75.705216,,,0
SC232,0716,"COLONNADE / CITIPLACE",,  45.347058, -75.707445,,,0
SC233,0715,"COLONNADE / CITIPLACE",,  45.347377, -75.708028,,,0
SC235,0982,"COLONNADE / AD. 112",,  45.345472, -75.703167,,,0
SC240,6049,"COLONNADE / AD. 120",,  45.343571, -75.705452,,,0
SC241,9039,"COLONNADE / 147 COLONNADE",,  45.343391, -75.705378,,,0
SC244,9069,"COLONNADE / MERIVALE DEPOT",,  45.342757, -75.707416,,,0
SC245,1588,"COLONNADE / AD. 146",,  45.342910, -75.707503,,,0
SC249,0708,"COLONNADE / CONCOURSE",,  45.342468, -75.708594,,,0
